Index,English,French,Spanish,Italian,German,
0,HELLO,
1,I,
2,AM,
3,ROBIN,
4,I'M,
5,THE,
6,TOWN,
7,.,
8,CARPENTER,
9,FEEL,
10,FREE,
11,TO,
12,COME,
13,ME,
14,GET,
15,UPGRADES,
16,FOR,
17,YOUR,
18,HOUSE,
19,STOP,
20,TRYING,
21,SELL,
22,LET,
23,THEM,
24,SETTLE,
25,IN,
26,FIRST,
27,SORRY,
28,ABOUT,
29,THAT,
30,HERE,
31,TAKE,
32,SOME,
33,SEEDS,
34,THANK,
35,YOU,
36,GO,
37,AWAY!,
38,SEE,
39,AROUND,
40,THAT'S,
41,RATHER,
42,RUDE,
43,WHY,
44,DON'T,
45,DO,
46,SOMETHING,
47,USEFUL,
48,AND,
49,WOOD,
51,EAT
52,MY
53,ASS
54,ROBIN,
55,CUM
56,ON
57,ONLY
58,FANS
59,THAT,
60,NUDES
61,FUCK
62,YOU,
63,NEVER
64,BEING
65,ARE
66,A
67,BITCH
68,POTATO!
69,HOPE
70,CLAY
